Time Point,SATIRE-M,TSInet
-765.0,1361.2120000000002,1361.1258586730958
-775.0,1361.174,1361.1223536602615
-785.0,1361.156,1361.1208425559935
-795.0,1361.264,1361.1208425559685
-805.0,1361.351,1361.1208425560185
-815.0,1361.2579999999998,1361.1208425560185
-825.0,1361.223,1361.1199921781274
-835.0,1361.2079999999999,1361.1169649658202
-845.0,1361.14,1361.1169649658202
-85.0,1361.069,1361.1169649658202
-855.0,1361.0529999999999,1361.1169649658202
-865.0,1361.088,1361.1169649658202
-875.0,1361.1870000000001,1361.117157041049
-885.0,1361.2679999999998,1361.1172244262696
-895.0,1361.237,1361.1172244262696
-905.0,1361.175,1361.1172244262696
-915.0,1361.184,1361.1172244262696
-925.0,1361.227,1361.2673028495392
-935.0,1361.269,1361.6794133300782
-945.0,1361.221,1361.6794133300782
-95.0,1361.152,1361.6794133300782
